eating_place,busy_metric,time_day,day_week
Hillman Food,40.26821927898595,12.1,T
DUC,89.8744629999033,12.1,T
Subway,102.67796521990495,12.1,T
Parkside,41.37227497161582,12.1,T
Whispers,119.97358969969608,12.1,T
Stanleys,72.3691098422584,12.1,T
Law Cafe,75.65988605070712,12.1,T
Bytes,0.22297428938377792,12.1,T
Hillman Food,107.68638731857283,12.1,W
DUC,239.69041075552087,12.1,W
Subway,276.2872035719241,12.1,W
Parkside,110.04092891755838,12.1,W
Whispers,333.4146742117397,12.1,W
Stanleys,193.61799606492113,12.1,W
Law Cafe,200.73349982406194,12.1,W
Bytes,0.8213190836344268,12.1,W
Hillman Food,30.780350022475762,12.1,H
DUC,67.0615070555062,12.1,H
Subway,79.06372760736589,12.1,H
Parkside,32.54500526017924,12.1,H
Whispers,100.07408962874246,12.1,H
Stanleys,56.822891544786344,12.1,H
Law Cafe,56.17762792383417,12.1,H
Bytes,0.4466006344458398,12.1,H
Hillman Food,94.42288364346918,12.1,F
DUC,211.42169866347237,12.1,F
Subway,243.70170073486008,12.1,F
Parkside,95.9151549723876,12.1,F
Whispers,294.16445645021633,12.1,F
Stanleys,170.1861193201906,12.1,F
Law Cafe,176.79544155643322,12.1,F
Bytes,0.6379150644150581,12.1,F
Hillman Food,87.25689092609966,12.2,M
DUC,194.9263933643634,12.2,M
Subway,225.23632276809488,12.2,M
Parkside,88.90661651093087,12.2,M
Whispers,273.67311868686295,12.2,M
Stanleys,157.43976071665182,12.2,M
Law Cafe,162.91589710120397,12.2,M
Bytes,0.6720155119096319,12.2,M
Hillman Food,34.95515202357213,12.2,T
DUC,78.01294638725291,12.2,T
Subway,89.09954756061894,12.2,T
Parkside,35.91037677882405,12.2,T
Whispers,104.01321166543065,12.2,T
Stanleys,62.79994921663574,12.2,T
Law Cafe,65.6862829306454,12.2,T
Bytes,0.19112081947181134,12.2,T
Hillman Food,96.7737736917193,12.2,W
DUC,215.45793593427834,12.2,W
Subway,248.29673281494655,12.2,W
Parkside,98.85557619644287,12.2,W
Whispers,299.43968834909066,12.2,W
Stanleys,173.9684907554237,12.2,W
Law Cafe,180.44988975136798,12.2,W
Bytes,0.7289138577427285,12.2,W
Hillman Food,26.383157180496354,12.2,H
DUC,57.48129176191298,12.2,H
Subway,67.76890937796173,12.2,H
Parkside,27.895718794546358,12.2,H
Whispers,85.77779111149808,12.2,H
Stanleys,48.70533561024129,12.2,H
Law Cafe,48.15225250614368,12.2,H
Bytes,0.3828005438107216,12.2,H
Hillman Food,84.9775404886644,12.2,F
DUC,190.28579862857296,12.2,F
Subway,219.33957198052332,12.2,F
Parkside,86.3166305806674,12.2,F
Whispers,264.7519048961893,12.2,F
Stanleys,153.16886230418004,12.2,F
Law Cafe,159.11998670431717,12.2,F
Bytes,0.5729683549462855,12.2,F
Hillman Food,76.0032365696301,12.3,M
DUC,168.5846398116916,12.3,M
Subway,196.35127537061996,12.3,M
Parkside,77.98098474833506,12.3,M
Whispers,242.6942398442883,12.3,M
Stanleys,138.21041337467338,12.3,M
Law Cafe,141.07617360377662,12.3,M
Bytes,0.7249809109472317,12.3,M
Hillman Food,8.20466258255703,12.3,T
DUC,18.25025789725702,12.3,T
Subway,20.344110948129458,12.3,T
Parkside,8.370633659370085,12.3,T
Whispers,22.002515901633323,12.3,T
Stanleys,14.359961236775135,12.3,T
Law Cafe,15.585771227401013,12.3,T
Bytes,3.830245596190805e-14,12.3,T
Hillman Food,83.51084296845272,12.3,W
DUC,186.83496496979046,12.3,W
Subway,214.31269166719198,12.3,W
Parkside,84.74081393697374,12.3,W
Whispers,255.0984004031461,12.3,W
Stanleys,149.60226754265491,12.3,W
Law Cafe,156.66196672109515,12.3,W
Bytes,0.47438013082292596,12.3,W
Hillman Food,3.128037958464972e-07,12.3,H
DUC,1.163612711619169e-09,12.3,H
Subway,5.2758560421498624e-09,12.3,H
Parkside,2.3453779485460934e-09,12.3,H
Whispers,2.7378767510125687e-08,12.3,H
Stanleys,9.54858281615269e-09,12.3,H
Law Cafe,2.617703126355749e-12,12.3,H
Bytes,4.028153684174092e-14,12.3,H
Hillman Food,76.24021994292934,12.3,F
DUC,169.1498984398895,12.3,F
Subway,197.41224642291138,12.3,F
Parkside,78.34792139391462,12.3,F
Whispers,245.11008310360714,12.3,F
Stanleys,139.1844691163404,12.3,F
Law Cafe,141.4445318504675,12.3,F
Bytes,0.7556703814207022,12.3,F
Hillman Food,67.314903502026,12.4,M
DUC,147.51155983523222,12.4,M
Subway,174.3373636119444,12.4,M
Parkside,70.06841697616665,12.4,M
Whispers,222.63871994918546,12.4,M
Stanleys,124.14149261948785,12.4,M
