1_value,2_value,3_value,4_value,5_value,EV,max_suit,win_rate
0,0,4,7,8,0.431607,2,0.30736
0,3,6,8,11,0.322375,2,0.41884
0,5,5,9,9,0.677434,2,0.81872
0,1,2,3,12,0.796859,4,0.90952
0,1,4,10,11,0.349204,3,0.44544
0,1,2,3,7,0.440112,2,0.3846
0,0,9,10,11,0.452136,2,0.5228
0,3,7,9,12,0.372434,3,0.521
0,9,11,12,12,0.601596,2,0.85092
0,2,3,10,10,0.580099,2,0.69456
0,1,4,5,12,0.524741,4,0.66388
0,1,1,8,9,0.440028,2,0.34572
0,6,7,10,11,0.343941,2,0.44312
0,4,9,10,11,0.377235,3,0.4802
0,5,5,6,7,0.535386,3,0.31664
0,4,6,9,10,0.348998,3,0.40796
0,0,1,2,9,0.451976,3,0.35012
0,4,4,5,9,0.487245,2,0.33256
0,2,7,11,11,0.584675,2,0.81656
0,3,7,9,12,0.37118,3,0.51576
0,0,0,1,2,0.739133,2,0.1862
0,1,5,6,10,0.299621,2,0.34232
0,5,5,8,12,0.508955,2,0.57232
0,0,1,2,2,0.628089,3,0.6656
0,4,5,6,12,0.379183,3,0.5022
0,1,3,4,12,0.400044,2,0.49532
0,6,7,7,11,0.534025,2,0.7792
0,5,8,10,11,0.375798,3,0.48396
0,2,8,9,11,0.343912,2,0.44296
0,4,6,8,12,0.347156,2,0.47416
0,2,3,10,12,0.413332,2,0.49832
0,2,3,10,12,0.413332,2,0.49832
0,1,4,4,9,0.49199,2,0.66096
0,0,7,11,12,0.435702,2,0.5718
0,2,2,7,7,0.659537,2,0.75588
0,2,3,5,6,0.380789,2,0.32968
0,3,5,10,11,0.324051,2,0.43876
0,3,4,8,12,0.340231,2,0.45312
0,5,10,10,12,0.682966,4,0.92448
0,4,6,7,9,0.333162,2,0.33744
0,0,5,7,9,0.455781,3,0.37796
0,2,2,9,9,0.676744,2,0.77936
0,0,1,4,7,0.422685,2,0.23932
0,2,5,10,12,0.343765,2,0.49376
0,2,8,9,11,0.343912,2,0.44296
0,0,5,6,7,0.446546,2,0.2902
0,0,1,4,7,0.422685,2,0.23932
0,6,8,10,11,0.35466,2,0.4466
0,1,2,6,9,0.326864,3,0.29892
0,2,2,9,11,0.461429,2,0.47048
0,1,6,11,12,0.534194,4,0.71408
0,1,5,6,9,0.327077,3,0.3502
0,2,3,5,10,0.323042,2,0.3276
0,1,4,9,9,0.577054,3,0.7656
0,0,5,6,7,0.446546,2,0.29288
0,2,6,10,11,0.347328,3,0.46148
0,1,2,3,8,0.442707,2,0.41752
0,0,4,10,12,0.431405,2,0.58004
0,3,5,6,10,0.348528,3,0.38764
0,2,3,5,10,0.346106,3,0.33844
0,1,5,6,8,0.305581,2,0.29776
0,7,8,9,9,0.573105,2,0.79464
0,1,8,10,12,0.355922,2,0.5292
0,6,6,7,12,0.521872,2,0.54092
0,3,4,5,6,0.464838,2,0.44496
0,1,1,5,9,0.436572,2,0.31172
0,4,6,7,9,0.356969,3,0.36268
0,1,2,5,9,0.299749,2,0.27836
0,0,3,7,10,0.446639,3,0.41272
0,2,4,5,9,0.334496,3,0.32544
0,0,1,2,5,0.425282,2,0.20096
0,2,2,3,5,0.467866,2,0.22136
0,0,4,11,11,0.700506,3,0.84968
0,0,2,3,8,0.431679,2,0.28852
0,7,7,11,12,0.555575,3,0.61844
0,1,2,11,12,0.410017,2,0.5152
0,5,7,8,10,0.370712,3,0.43072
0,4,4,8,10,0.491851,2,0.41396
0,0,7,8,9,0.453758,2,0.39108
0,4,6,9,9,0.572944,3,0.78256
0,0,3,6,11,0.447164,3,0.46248
0,2,3,8,10,0.319566,2,0.323
0,1,2,10,12,0.428238,3,0.52216
0,0,3,3,3,0.850031,2,0.96752
0,3,7,10,11,0.337506,2,0.44308
0,0,0,1,8,0.736688,2,0.29636
0,3,8,11,11,0.598156,3,0.83796
0,0,3,12,12,0.701476,2,0.85648
0,3,6,9,11,0.324297,2,0.40516
0,2,5,10,12,0.343765,2,0.49376
0,0,1,8,11,0.424372,2,0.4756
0,0,3,6,12,0.454903,3,0.54024
0,1,5,6,9,0.327077,3,0.3502
0,0,4,5,5,0.651156,3,0.71988
0,0,3,11,12,0.438937,2,0.58624
0,6,7,8,9,0.501831,3,0.43308
0,1,2,8,11,0.349415,3,0.40276
0,3,4,5,10,0.329358,2,0.34688
0,3,3,6,8,0.489988,3,0.32096
0,2,7,8,9,0.331304,2,0.37148
0,2,3,9,12,0.430867,3,0.50552
0,1,2,5,12,0.399674,2,0.46932
0,1,3,7,12,0.405799,2,0.4638
0,1,7,8,9,0.354538,3,0.40204
0,3,6,7,8,0.324854,2,0.30352
0,1,3,6,9,0.506437,4,0.53928
0,5,8,10,11,0.352653,2,0.47364
0,2,4,4,11,0.494292,2,0.68684
0,0,1,5,11,0.44347,3,0.46612
0,0,4,7,10,0.447847,3,0.42064
0,1,6,10,12,0.366657,3,0.53484
0,8,10,11,12,0.443362,2,0.59104
0,2,5,5,9,0.50206,2,0.73332
0,0,2,5,5,0.640584,2,0.71112
0,1,2,3,8,0.460886,3,0.43264
0,2,2,4,12,0.483846,3,0.54616
0,1,5,7,10,0.301721,2,0.37524
0,1,6,6,12,0.525984,2,0.76376
0,0,2,3,6,0.437151,2,0.22824
0,0,1,12,12,0.701446,2,0.88024
0,4,7,8,8,0.564298,3,0.78436
0,0,6,7,10,0.436366,2,0.41624
0,2,9,10,10,0.585903,3,0.82552
0,1,3,11,12,0.412426,2,0.49928
0,0,6,7,7,0.659138,2,0.776
0,4,4,8,9,0.490696,2,0.36284
0,0,1,1,2,0.619564,3,0.62576
0,0,5,9,11,0.452574,3,0.50916
0,0,4,5,10,0.446048,3,0.40524
0,1,2,5,12,0.418269,3,0.3846
0,1,1,2,9,0.447207,2,0.33208
0,4,7,10,12,0.367271,3,0.52588
0,1,2,10,12,0.428238,3,0.52216
0,1,3,6,10,0.336938,3,0.33428
0,3,7,9,12,0.37118,3,0.51576
0,9,10,10,12,0.579011,2,0.85512
0,5,9,10,12,0.358913,2,0.53536
0,6,6,7,11,0.520766,2,0.45872
0,0,2,2,9,0.63102,3,0.64028
0,1,8,9,10,0.52812,4,0.63104
0,1,2,7,10,0.338472,3,0.36244
0,1,4,7,9,0.300633,2,0.291
0,0,3,6,7,0.449653,3,0.28044
0,1,4,9,12,0.337044,2,0.4766
0,5,5,8,10,0.524527,3,0.45312
0,3,9,10,11,0.373888,3,0.4852
0,1,5,10,12,0.341122,2,0.5238
0,3,8,10,12,0.540515,4,0.65836
0,1,3,4,5,0.3777,2,0.3184
0,0,6,7,8,0.450216,2,0.34816
0,5,6,7,12,0.364512,2,0.48544
0,2,4,6,9,0.311595,2,0.29156
0,1,7,9,11,0.523038,4,0.6226
0,5,6,8,9,0.420984,3,0.4544
0,1,8,12,12,0.613393,3,0.87004
0,3,8,9,12,0.382599,3,0.53336
0,0,6,7,10,0.436366,2,0.4188
0,3,4,6,9,0.348523,3,0.32868
0,3,3,9,12,0.485809,2,0.55424
0,2,3,7,9,0.309189,2,0.2672
0,0,2,6,12,0.454818,3,0.53912
0,0,0,6,11,0.736946,2,0.51604
0,0,5,8,11,0.598182,4,0.65356
0,1,6,9,11,0.343167,3,0.46144
0,1,3,7,12,0.405799,2,0.46152
0,3,4,5,12,0.351047,2,0.4438
0,0,4,11,11,0.692402,2,0.8502
0,1,8,9,12,0.542484,4,0.70608
0,3,5,10,10,0.571751,2,0.80644
0,4,5,6,9,0.352285,3,0.25972
