,class_id,day_week,time_day,Building,num_students,Friends
2433,120144,M,17.3,Busch,134,0
2439,120150,M,18.3,Busch,162,0
2445,120156,M,19.3,Busch,28,0
2452,120163,T,7.3,Busch,0,0
2458,120169,T,8.3,Busch,0,0
2464,120175,T,9.3,Busch,0,0
2470,120181,T,10.3,Busch,147,0
2476,120187,T,11.3,Busch,10,0
2482,120193,T,12.3,Busch,10,0
2488,120199,T,13.3,Busch,88,0
2494,120205,T,14.3,Busch,11,0
2500,120211,T,15.3,Busch,11,0
2506,120217,T,16.3,Busch,25,0
2512,120223,T,17.3,Busch,0,0
2518,120229,T,18.3,Busch,67,0
2524,120235,T,19.3,Busch,67,0
2531,120242,W,7.3,Busch,0,0
2537,120248,W,8.3,Busch,0,0
2543,120254,W,9.3,Busch,52,0
2549,120260,W,10.3,Busch,133,0
2555,120266,W,11.3,Busch,552,0
2561,120272,W,12.3,Busch,552,0
2567,120278,W,13.3,Busch,0,0
2573,120284,W,14.3,Busch,82,0
2579,120290,W,15.3,Busch,214,0
2585,120296,W,16.3,Busch,32,0
2591,120302,W,17.3,Busch,166,0
2597,120308,W,18.3,Busch,134,0
2603,120314,W,19.3,Busch,0,0
2610,120321,H,7.3,Busch,0,0
2616,120327,H,8.3,Busch,0,0
2622,120333,H,9.3,Busch,0,0
2628,120339,H,10.3,Busch,147,0
2634,120345,H,11.3,Busch,10,0
2640,120351,H,12.3,Busch,10,0
2646,120357,H,13.3,Busch,88,0
2652,120363,H,14.3,Busch,11,0
2658,120369,H,15.3,Busch,11,0
2664,120375,H,16.3,Busch,25,0
2670,120381,H,17.3,Busch,0,0
2676,120387,H,18.3,Busch,0,0
2682,120393,H,19.3,Busch,10,0
2689,120400,F,7.3,Busch,0,0
2695,120406,F,8.3,Busch,0,0
2701,120412,F,9.3,Busch,52,0
2707,120418,F,10.3,Busch,13,0
2713,120424,F,11.3,Busch,97,0
2719,120430,F,12.3,Busch,0,0
2725,120436,F,13.3,Busch,5,0
2731,120442,F,14.3,Busch,82,0
2737,120448,F,15.3,Busch,0,0
2743,120454,F,16.3,Busch,0,0
2749,120460,F,17.3,Busch,0,0
2755,120466,F,18.3,Busch,0,0
2761,120472,F,19.3,Busch,0,0
2768,120479,M,7.3,Busch Lab,0,0
2774,120485,M,8.3,Busch Lab,0,0
2780,120491,M,9.3,Busch Lab,0,0
2786,120497,M,10.3,Busch Lab,0,0
2792,120503,M,11.3,Busch Lab,0,0
2798,120509,M,12.3,Busch Lab,0,0
2804,120515,M,13.3,Busch Lab,0,0
2810,120521,M,14.3,Busch Lab,0,0
2816,120527,M,15.3,Busch Lab,0,0
2822,120533,M,16.3,Busch Lab,0,0
2828,120539,M,17.3,Busch Lab,0,0
2834,120545,M,18.3,Busch Lab,0,0
2840,120551,M,19.3,Busch Lab,0,0
2847,120558,T,7.3,Busch Lab,0,0
2853,120564,T,8.3,Busch Lab,0,0
2859,120570,T,9.3,Busch Lab,0,0
2865,120576,T,10.3,Busch Lab,0,0
2871,120582,T,11.3,Busch Lab,0,0
2877,120588,T,12.3,Busch Lab,0,0
2883,120594,T,13.3,Busch Lab,0,0
2889,120600,T,14.3,Busch Lab,0,0
2895,120606,T,15.3,Busch Lab,0,0
2901,120612,T,16.3,Busch Lab,0,0
2907,120618,T,17.3,Busch Lab,0,0
2913,120624,T,18.3,Busch Lab,0,0
2919,120630,T,19.3,Busch Lab,0,0
2926,120637,W,7.3,Busch Lab,0,0
2932,120643,W,8.3,Busch Lab,0,0
2938,120649,W,9.3,Busch Lab,0,0
2944,120655,W,10.3,Busch Lab,0,0
2950,120661,W,11.3,Busch Lab,0,0
2956,120667,W,12.3,Busch Lab,0,0
2962,120673,W,13.3,Busch Lab,0,0
2968,120679,W,14.3,Busch Lab,0,0
2974,120685,W,15.3,Busch Lab,0,0
2980,120691,W,16.3,Busch Lab,0,0
2986,120697,W,17.3,Busch Lab,0,0
2992,120703,W,18.3,Busch Lab,0,0
2998,120709,W,19.3,Busch Lab,0,0
3005,120716,H,7.3,Busch Lab,0,0
3011,120722,H,8.3,Busch Lab,0,0
3017,120728,H,9.3,Busch Lab,0,0
3023,120734,H,10.3,Busch Lab,0,0
3029,120740,H,11.3,Busch Lab,9,0
3035,120746,H,12.3,Busch Lab,9,0
3041,120752,H,13.3,Busch Lab,0,0
3047,120758,H,14.3,Busch Lab,0,0
3053,120764,H,15.3,Busch Lab,0,0
3059,120770,H,16.3,Busch Lab,0,0
3065,120776,H,17.3,Busch Lab,0,0
3071,120782,H,18.3,Busch Lab,0,0
3077,120788,H,19.3,Busch Lab,0,0
3084,120795,F,7.3,Busch Lab,0,0
3090,120801,F,8.3,Busch Lab,0,0
3096,120807,F,9.3,Busch Lab,0,0
3102,120813,F,10.3,Busch Lab,0,0
3108,120819,F,11.3,Busch Lab,0,0
3114,120825,F,12.3,Busch Lab,0,0
3120,120831,F,13.3,Busch Lab,0,0
3126,120837,F,14.3,Busch Lab,0,0
3132,120843,F,15.3,Busch Lab,0,0
3138,120849,F,16.3,Busch Lab,0,0
3144,120855,F,17.3,Busch Lab,0,0
3150,120861,F,18.3,Busch Lab,0,0
3156,120867,F,19.3,Busch Lab,0,0
3163,120874,M,7.3,Crow,0,0
3169,120880,M,8.3,Crow,31,0
3175,120886,M,9.3,Crow,105,0
3181,120892,M,10.3,Crow,89,0
3187,120898,M,11.3,Crow,34,0
3193,120904,M,12.3,Crow,0,0
3199,120910,M,13.3,Crow,113,0
3205,120916,M,14.3,Crow,14,0
3211,120922,M,15.3,Crow,74,0
3217,120928,M,16.3,Crow,217,0
3223,120934,M,17.3,Crow,42,0
3229,120940,M,18.3,Crow,42,0
3235,120946,M,19.3,Crow,0,0
3242,120953,T,7.3,Crow,0,0
3248,120959,T,8.3,Crow,72,0
3254,120965,T,9.3,Crow,72,0
3260,120971,T,10.3,Crow,90,0
3266,120977,T,11.3,Crow,44,0
3272,120983,T,12.3,Crow,44,0
3278,120989,T,13.3,Crow,47,0
3284,120995,T,14.3,Crow,21,0
3290,121001,T,15.3,Crow,21,0
3296,121007,T,16.3,Crow,50,0
3302,121013,T,17.3,Crow,15,0
3308,121019,T,18.3,Crow,15,0
3314,121025,T,19.3,Crow,15,0
3321,121032,W,7.3,Crow,0,0
3327,121038,W,8.3,Crow,31,0
3333,121044,W,9.3,Crow,105,0
3339,121050,W,10.3,Crow,89,0
3345,121056,W,11.3,Crow,34,0
3351,121062,W,12.3,Crow,0,0
3357,121068,W,13.3,Crow,113,0
3363,121074,W,14.3,Crow,14,0
3369,121080,W,15.3,Crow,74,0
3375,121086,W,16.3,Crow,217,0
3381,121092,W,17.3,Crow,42,0
3387,121098,W,18.3,Crow,42,0
3393,121104,W,19.3,Crow,0,0
3400,121111,H,7.3,Crow,0,0
3406,121117,H,8.3,Crow,72,0
3412,121123,H,9.3,Crow,72,0
3418,121129,H,10.3,Crow,90,0
3424,121135,H,11.3,Crow,44,0
3430,121141,H,12.3,Crow,44,0
3436,121147,H,13.3,Crow,47,0
3442,121153,H,14.3,Crow,21,0
3448,121159,H,15.3,Crow,21,0
3454,121165,H,16.3,Crow,49,0
3460,121171,H,17.3,Crow,15,0
3466,121177,H,18.3,Crow,28,0
3472,121183,H,19.3,Crow,28,0
3479,121190,F,7.3,Crow,0,0
3485,121196,F,8.3,Crow,0,0
3491,121202,F,9.3,Crow,74,0
3497,121208,F,10.3,Crow,89,0
3503,121214,F,11.3,Crow,34,0
3509,121220,F,12.3,Crow,0,0
3515,121226,F,13.3,Crow,113,0
3521,121232,F,14.3,Crow,5,0
3527,121238,F,15.3,Crow,65,0
3533,121244,F,16.3,Crow,0,0
3539,121250,F,17.3,Crow,0,0
3545,121256,F,18.3,Crow,0,0
3551,121262,F,19.3,Crow,0,0
3558,121269,M,7.3,Cupples I,0,0
3564,121275,M,8.3,Cupples I,0,0
3570,121281,M,9.3,Cupples I,0,0
3576,121287,M,10.3,Cupples I,76,0
3582,121293,M,11.3,Cupples I,67,0
3588,121299,M,12.3,Cupples I,91,0
3594,121305,M,13.3,Cupples I,112,0
3600,121311,M,14.3,Cupples I,61,0
3606,121317,M,15.3,Cupples I,69,0
3612,121323,M,16.3,Cupples I,22,0
3618,121329,M,17.3,Cupples I,14,0
3624,121335,M,18.3,Cupples I,29,0
3630,121341,M,19.3,Cupples I,29,0
3637,121348,T,7.3,Cupples I,0,0
3643,121354,T,8.3,Cupples I,0,0
3649,121360,T,9.3,Cupples I,0,0
3655,121366,T,10.3,Cupples I,55,0
3661,121372,T,11.3,Cupples I,36,0
3667,121378,T,12.3,Cupples I,36,0
3673,121384,T,13.3,Cupples I,68,0
3679,121390,T,14.3,Cupples I,79,0
3685,121396,T,15.3,Cupples I,95,0
3691,121402,T,16.3,Cupples I,117,0
3697,121408,T,17.3,Cupples I,62,0
3703,121414,T,18.3,Cupples I,46,0
3709,121420,T,19.3,Cupples I,0,0
3716,121427,W,7.3,Cupples I,0,0
3722,121433,W,8.3,Cupples I,0,0
3728,121439,W,9.3,Cupples I,0,0
3734,121445,W,10.3,Cupples I,97,0
3740,121451,W,11.3,Cupples I,67,0
3746,121457,W,12.3,Cupples I,91,0
